"DateTime","Players","Average Players"
"2024-12-04 00:00:00",10283,3790
"2024-12-05 00:00:00",102167,69684
"2024-12-06 00:00:00",94372,72035
"2024-12-07 00:00:00",108788,82456
"2024-12-08 00:00:00",118964,91079
"2024-12-09 00:00:00",98930,72336
"2024-12-10 00:00:00",94555,71237
"2024-12-11 00:00:00",91698,68737
"2024-12-12 00:00:00",90721,67555
"2024-12-13 00:00:00",97634,70009
"2024-12-14 00:00:00",111062,81596
"2024-12-15 00:00:00",114987,85045
"2024-12-16 00:00:00",91235,67077
"2024-12-17 00:00:00",90866,65583
"2024-12-18 00:00:00",89679,64724
"2024-12-19 00:00:00",89416,64222
"2024-12-20 00:00:00",98453,69473
"2024-12-21 00:00:00",110410,80172
"2024-12-22 00:00:00",112891,83840
"2024-12-23 00:00:00",101149,71114
"2024-12-24 00:00:00",99858,67882
"2024-12-25 00:00:00",92350,66263
"2024-12-26 00:00:00",98123,68525
"2024-12-27 00:00:00",100206,70710
"2024-12-28 00:00:00",104655,76541
"2024-12-29 00:00:00",107197,79177
"2024-12-30 00:00:00",97811,71327
"2024-12-31 00:00:00",90133,65585
"2025-01-01 00:00:00",101527,73374
"2025-01-02 00:00:00",98174,70145
"2025-01-03 00:00:00",102811,72674
"2025-01-04 00:00:00",112561,82251
"2025-01-05 00:00:00",114512,84818
"2025-01-06 00:00:00",100250,69478
"2025-01-07 00:00:00",95816,66661
"2025-01-08 00:00:00",93926,65074
"2025-01-09 00:00:00",92420,64521
"2025-01-10 00:00:00",98184,68363
"2025-01-11 00:00:00",111750,80280
"2025-01-12 00:00:00",117821,83378
"2025-01-13 00:00:00",95442,67135
"2025-01-14 00:00:00",94385,64720
"2025-01-15 00:00:00",93328,63290
"2025-01-16 00:00:00",93759,64260
"2025-01-17 00:00:00",98799,67256
"2025-01-18 00:00:00",117523,81176
"2025-01-19 00:00:00",131264,95033
"2025-01-20 00:00:00",108562,77793
"2025-01-21 00:00:00",106882,74342
"2025-01-22 00:00:00",104443,72156
"2025-01-23 00:00:00",102699,70911
"2025-01-24 00:00:00",109615,76180
"2025-01-25 00:00:00",119686,85569
"2025-01-26 00:00:00",125406,87966
"2025-01-27 00:00:00",101083,71605
"2025-01-28 00:00:00",97232,68940
"2025-01-29 00:00:00",95044,66709
"2025-01-30 00:00:00",93622,64823
"2025-01-31 00:00:00",97348,67765
"2025-02-01 00:00:00",108404,76628
"2025-02-02 00:00:00",111558,78343
"2025-02-03 00:00:00",95215,64626
"2025-02-04 00:00:00",96735,63954
"2025-02-05 00:00:00",97216,62285
"2025-02-06 00:00:00",96330,61628
"2025-02-07 00:00:00",97618,63710
"2025-02-08 00:00:00",109983,73113
"2025-02-09 00:00:00",111356,74973
"2025-02-10 00:00:00",98469,61450
"2025-02-11 00:00:00",98150,61858
"2025-02-12 00:00:00",94335,59782
"2025-02-13 00:00:00",91685,56739
"2025-02-14 00:00:00",92150,57809
"2025-02-15 00:00:00",103006,67755
"2025-02-16 00:00:00",106335,70502
"2025-02-17 00:00:00",93532,56996
"2025-02-18 00:00:00",93466,55456
"2025-02-19 00:00:00",90937,54809
"2025-02-20 00:00:00",91763,55209
"2025-02-21 00:00:00",123756,76036
"2025-02-22 00:00:00",130650,88010
"2025-02-23 00:00:00",130253,87352
"2025-02-24 00:00:00",110221,66417
"2025-02-25 00:00:00",105248,62312
"2025-02-26 00:00:00",101490,59827
"2025-02-27 00:00:00",99984,58717
"2025-02-28 00:00:00",100223,61008
"2025-03-01 00:00:00",108433,70740
"2025-03-02 00:00:00",108215,71830
"2025-03-03 00:00:00",95667,56961
"2025-03-04 00:00:00",94526,54971
"2025-03-05 00:00:00",91938,52656
"2025-03-06 00:00:00",89536,51263
"2025-03-07 00:00:00",95748,55935
"2025-03-08 00:00:00",100477,65230
"2025-03-09 00:00:00",101515,65599
"2025-03-10 00:00:00",91233,51122
"2025-03-11 00:00:00",90760,50197
"2025-03-12 00:00:00",89123,49773
"2025-03-13 00:00:00",89396,49309
"2025-03-14 00:00:00",93554,53584
"2025-03-15 00:00:00",97975,61409
"2025-03-16 00:00:00",98280,61812
"2025-03-17 00:00:00",87953,47631
"2025-03-18 00:00:00",86274,46234
"2025-03-19 00:00:00",85806,45776
"2025-03-20 00:00:00",85078,46072
"2025-03-21 00:00:00",91072,50341
"2025-03-22 00:00:00",96230,59240
"2025-03-23 00:00:00",96088,59392
"2025-03-24 00:00:00",88175,46451
"2025-03-25 00:00:00",86129,45330
"2025-03-26 00:00:00",85538,44810
"2025-03-27 00:00:00",88066,45862
"2025-03-28 00:00:00",93581,49437
"2025-03-29 00:00:00",98922,58948
"2025-03-30 00:00:00",99357,58068
"2025-03-31 00:00:00",92189,45995
"2025-04-01 00:00:00",91683,45573
"2025-04-02 00:00:00",88759,44195
"2025-04-03 00:00:00",87817,45997
"2025-04-04 00:00:00",87250,51191
"2025-04-05 00:00:00",91446,54377
"2025-04-06 00:00:00",95694,54236
"2025-04-07 00:00:00",91891,43749
"2025-04-08 00:00:00",91648,43451
"2025-04-09 00:00:00",90018,43064
"2025-04-10 00:00:00",89637,43079
"2025-04-11 00:00:00",97499,48870
"2025-04-12 00:00:00",105416,59857
"2025-04-13 00:00:00",101904,58132
"2025-04-14 00:00:00",96148,45593
"2025-04-15 00:00:00",96085,45860
"2025-04-16 00:00:00",95871,45233
"2025-04-17 00:00:00",102673,50707
"2025-04-18 00:00:00",111716,58095
"2025-04-19 00:00:00",112190,64838
"2025-04-20 00:00:00",110417,63454
"2025-04-21 00:00:00",120529,59420
"2025-04-22 00:00:00",117629,59463
"2025-04-23 00:00:00",115890,58403
"2025-04-24 00:00:00",116726,59281
"2025-04-25 00:00:00",123894,65132
"2025-04-26 00:00:00",123869,74286
"2025-04-27 00:00:00",131129,70563
"2025-04-28 00:00:00",122000,62597
"2025-04-29 00:00:00",126052,65179
"2025-04-30 00:00:00",118620,66059
"2025-05-01 00:00:00",120356,73725
"2025-05-02 00:00:00",119509,72575
"2025-05-03 00:00:00",126043,76651
"2025-05-04 00:00:00",134446,80259
"2025-05-05 00:00:00",133412,74016
"2025-05-06 00:00:00",137375,67215
"2025-05-07 00:00:00",136139,65826
"2025-05-08 00:00:00",140189,67968
"2025-05-09 00:00:00",147489,75022
"2025-05-10 00:00:00",150939,86096
"2025-05-11 00:00:00",147004,83953
"2025-05-12 00:00:00",142998,68783
"2025-05-13 00:00:00",140517,67302
"2025-05-14 00:00:00",139031,67284
"2025-05-15 00:00:00",138295,66965
"2025-05-16 00:00:00",146500,74444
"2025-05-17 00:00:00",151353,86602
"2025-05-18 00:00:00",151492,85920
"2025-05-19 00:00:00",146617,69643
"2025-05-20 00:00:00",141483,68398
"2025-05-21 00:00:00",141986,68108
"2025-05-22 00:00:00",143942,68825
"2025-05-23 00:00:00",151926,75908
"2025-05-24 00:00:00",155301,87288
"2025-05-25 00:00:00",154227,85815
"2025-05-26 00:00:00",150361,71187
"2025-05-27 00:00:00",149647,71053
"2025-05-28 00:00:00",148468,71035
"2025-05-29 00:00:00",146501,70139
"2025-05-30 00:00:00",146210,74310
"2025-05-31 00:00:00",143104,82482
"2025-06-01 00:00:00",148129,85029
"2025-06-02 00:00:00",147738,77858
"2025-06-03 00:00:00",150246,70189
"2025-06-04 00:00:00",150932,70298
"2025-06-05 00:00:00",151627,72624
"2025-06-06 00:00:00",156827,78425
"2025-06-07 00:00:00",160687,89058
"2025-06-08 00:00:00",160918,88173
"2025-06-09 00:00:00",157577,74219
"2025-06-10 00:00:00",152652,72099
"2025-06-11 00:00:00",151311,71790
"2025-06-12 00:00:00",150305,71237
"2025-06-13 00:00:00",156338,77309
"2025-06-14 00:00:00",161552,88573
"2025-06-15 00:00:00",159229,88127
"2025-06-16 00:00:00",155310,74812
"2025-06-17 00:00:00",154165,74757
"2025-06-18 00:00:00",152591,74308
"2025-06-19 00:00:00",155496,76192
"2025-06-20 00:00:00",159426,80222
"2025-06-21 00:00:00",162436,90315
"2025-06-22 00:00:00",161668,90141
"2025-06-23 00:00:00",157422,76856
"2025-06-24 00:00:00",155774,76754
"2025-06-25 00:00:00",152939,75115
"2025-06-26 00:00:00",152823,75302
"2025-06-27 00:00:00",159661,80625
"2025-06-28 00:00:00",160810,88682
"2025-06-29 00:00:00",159763,88831
