"DateTime","Players","Average Players"
"2025-03-04 00:00:00",187059,108586
"2025-03-05 00:00:00",157463,93993
"2025-03-06 00:00:00",153915,89453
"2025-03-07 00:00:00",159087,94709
"2025-03-08 00:00:00",174497,114321
"2025-03-09 00:00:00",176749,115728
"2025-03-10 00:00:00",156109,88262
"2025-03-11 00:00:00",152632,84965
"2025-03-12 00:00:00",144490,81496
"2025-03-13 00:00:00",149779,82167
"2025-03-14 00:00:00",148052,86443
"2025-03-15 00:00:00",159897,101660
"2025-03-16 00:00:00",157603,101311
"2025-03-17 00:00:00",137556,76732
"2025-03-18 00:00:00",132044,73688
"2025-03-19 00:00:00",125355,70159
"2025-03-20 00:00:00",125956,70342
"2025-03-21 00:00:00",128950,74378
"2025-03-22 00:00:00",137021,87848
"2025-03-23 00:00:00",131327,85895
"2025-03-24 00:00:00",112242,63875
"2025-03-25 00:00:00",106865,60265
"2025-03-26 00:00:00",102160,57643
"2025-03-27 00:00:00",102637,58454
"2025-03-28 00:00:00",108495,62472
"2025-03-29 00:00:00",118241,75533
"2025-03-30 00:00:00",114745,73175
"2025-03-31 00:00:00",98360,54842
"2025-04-01 00:00:00",92172,50983
"2025-04-02 00:00:00",88042,49196
"2025-04-03 00:00:00",90570,52192
"2025-04-04 00:00:00",89713,57285
"2025-04-05 00:00:00",94288,62171
"2025-04-06 00:00:00",93498,60339
"2025-04-07 00:00:00",80818,45518
"2025-04-08 00:00:00",78413,43777
"2025-04-09 00:00:00",75055,42153
"2025-04-10 00:00:00",75664,41895
"2025-04-11 00:00:00",82236,45853
"2025-04-12 00:00:00",89984,56985
"2025-04-13 00:00:00",83777,54182
"2025-04-14 00:00:00",72217,40282
"2025-04-15 00:00:00",70196,38940
"2025-04-16 00:00:00",68189,38442
"2025-04-17 00:00:00",70947,40838
"2025-04-18 00:00:00",78069,46378
"2025-04-19 00:00:00",78463,51479
"2025-04-20 00:00:00",72885,49735
"2025-04-21 00:00:00",69824,41297
"2025-04-22 00:00:00",65594,38191
"2025-04-23 00:00:00",64682,37507
"2025-04-24 00:00:00",67224,38799
"2025-04-25 00:00:00",70203,41373
"2025-04-26 00:00:00",71921,47664
"2025-04-27 00:00:00",72264,45114
"2025-04-28 00:00:00",60980,36069
"2025-04-29 00:00:00",58388,34899
"2025-04-30 00:00:00",58030,36059
"2025-05-01 00:00:00",62103,42717
"2025-05-02 00:00:00",60540,41483
"2025-05-03 00:00:00",64877,45167
"2025-05-04 00:00:00",69210,47071
"2025-05-05 00:00:00",58517,38760
"2025-05-06 00:00:00",55570,34663
"2025-05-07 00:00:00",60480,36483
